Player,Votes
Brandon Knight,18110
Grayson Allen,18350
Dorian Finney-Smith,18470
Jeff Teague,18719
Nicolas Batum,18813
Devin Harris,19132
Landry Shamet,19255
C.J. Miles,19435
Shai Gilgeous-Alexander,19842
Derrick Jones Jr.,20002
Sviatoslav Mykhailiuk,20170
Donte DiVincenzo,20293
Dante Exum,20517
Moritz Wagner,20529
Dwight Powell,20554
Monte Morris,21027
Udonis Haslem,21197
Damian Jones,21317
James Ennis,21347
Jose Calderon,21473
Zaza Pachulia,21525
Evan Fournier,21611
George Hill,21901
D.J. Wilson,22258
Tyus Jones,22516
Darren Collison,22529
Jamal Crawford,22935
Caris LeVert,23085
Kris Dunn,23389
Jaren Jackson Jr.,23390
Wendell Carter Jr.,23420
Willy Hernangomez,24162
Malik Beasley,24344
Joe Harris,24489
Al-Farouq Aminu,26552
T.J. McConnell,26564
Taj Gibson,26708
Wesley Matthews,26731
Trevor Ariza,26975
Raymond Felton,27109
Robert Williams,27246
Daniel Theis,27283
T.J. Warren,27697
Mason Plumlee,27733
Nikola Mirotic,27799
Jae Crowder,28076
Derrick Favors,28213
Willie Cauley-Stein,28256
Josh Okogie,28373
Matthew Dellavedova,28387
Abdel Nader,29254
Markelle Fultz,29992
Thaddeus Young,30244
Maxi Kleber,30269
Marvin Bagley III,30830
Thon Maker,31403
Jakob Poeltl,31560
Patrick Patterson,31968
Kevin Knox,32851
Kelly Oubre Jr.,33522
Delon Wright,35189
Collin Sexton,36471
Dario Saric,37201
Nene,38334
Norman Powell,38937
Alfonzo McKinnie,40423
Larry Nance Jr.,40455
Andre Roberson,40928
Derrick White,43473
Isaiah Thomas,44367
Danuel House,45459
Bam Adebayo,46466
Montrezl Harrell,47205
Juan Hernangomez,47464
Julius Randle,48268
Kyle Korver,48710
Justise Winslow,49421
Seth Curry,49447
Aron Baynes,49545
Tristan Thompson,49756
Dwight Howard,50356
Patty Mills,50432
Davis Bertans,52192
Ersan Ilyasova,53653
Bryn Forbes,54302
John Collins,55563
Michael Beasley,55823
Hamidou Diallo,56551
Josh Richardson,61287
Furkan Korkmaz,61306
Austin Rivers,62225
Robert Covington,62266
Paul Millsap,63365
J.J. Barea,65274
Milos Teodosic,65564
Tim Hardaway Jr.,68310
Quinn Cook,69321
Harrison Barnes,69434
OG Anunoby,69500
Gary Harris,70131
Enes Kanter,70621
Pau Gasol,71195
Nerlens Noel,72361
Terrance Ferguson,72501
Alex Abrines,73043
Jordan Bell,73082
Kentavious Caldwell-Pope,76553
Tony Parker,77056
Joe Ingles,77335
Tyson Chandler,78740
Ricky Rubio,78842
Terry Rozier,79584
Mohamed Bamba,81319
Lou Williams,83791
Shaun Livingston,88964
Myles Turner,89023
Kristaps Porzingis,89334
Dennis Smith Jr.,90268
Kevon Looney,91374
Jrue Holiday,93873
Jarrett Allen,94421
Aaron Gordon,94489
Ivica Zubac,97263
Kostas Antetokounmpo,98369
Deandre Ayton,101143
Fred VanVleet,101147
Cedi Osman,101593
Marc Gasol,102405
Gerald Green,103557
Marco Belinelli,104675
Trae Young,106790
Jonas Valanciunas,114827
Spencer Dinwiddie,115054
Hassan Whiteside,119122
Nemanja Bjelica,121732
Bojan Bogdanovic,122143
Marcus Smart,122200
J.J. Redick,122738
Rudy Gay,122988
Andrew Wiggins,123527
Boban Marjanovic,123533
Jonas Jerebko,125647
Jusuf Nurkic,131459
Lauri Markkanen,139747
Mike Conley,141683
Buddy Hield,141994
Malcolm Brogdon,142966
Domantas Sabonis,144248
Brook Lopez,147667
P.J. Tucker,149798
Lance Stephenson,150510
Eric Bledsoe,164441
Eric Gordon,165649
John Wall,169032
DeAndre Jordan,173516
Marcus Morris,190006
Kevin Love,191230
Jordan Clarkson,191853
Rudy Gobert,196040
Carmelo Anthony,202117
CJ McCollum,205182
Josh Hart,209425
Jaylen Brown,213401
Tobias Harris,219184
Rajon Rondo,220466
Danny Green,220816
D'Angelo Russell,222499
Andre Iguodala,234866
Jerami Grant,238095
Khris Middleton,238103
Dennis Schroder,239671
Bogdan Bogdanovic,243440
Nikola Vucevic,255487
Danilo Gallinari,259799
Jamal Murray,260655
Andre Drummond,264473
JaVale McGee,316015
Bradley Beal,346027
Serge Ibaka,348217
De'Aaron Fox,358582
Al Horford,360988
Dirk Nowitzki,394622
Gordon Hayward,412018
Donovan Mitchell,417390
Brandon Ingram,447996
Jeremy Lin,449166
LaMarcus Aldridge,463118
Clint Capela,467048
Devin Booker,475535
Goran Dragic,482214
Karl-Anthony Towns,501401
Pascal Siakam,506199
Zach LaVine,519746
Chris Paul,520453
Vince Carter,540939
DeMarcus Cousins,691722
Blake Griffin,843785
Jimmy Butler,907775
Kyle Lowry,931460
Victor Oladipo,948260
Draymond Green,958761
Lonzo Ball,961488
Jayson Tatum,1002885
DeMar DeRozan,1039658
Damian Lillard,1043785
Kyle Kuzma,1155582
Ben Simmons,1184221
Kemba Walker,1395330
Nikola Jokic,1445989
Klay Thompson,1578140
Steven Adams,1779073
Dwyane Wade,2208598
Russell Westbrook,2512374
Anthony Davis,2520728
Joel Embiid,2783833
James Harden,2905488
Paul George,3122346
Kevin Durant,3150648
Derrick Rose,3376277
Kawhi Leonard,3580531
Stephen Curry,3861038
Kyrie Irving,3881766
Luka Doncic,4242980
Giannis Antetokounmpo,4375747
LeBron James,4620809
