Player,Votes,Share
Ian Mahinmi,2534,5.66097E-05
Malik Beasley,2554,5.70565E-05
Dwight Powell,2579,5.7615E-05
Mirza Teletovic,2614,5.83969E-05
Mason Plumlee,2622,5.85756E-05
Wesley Matthews,2624,5.86203E-05
Stanley Johnson,2695,6.02065E-05
Darius Miller,2707,6.04745E-05
D.J. Wilson,2713,6.06086E-05
Joel Bolomboy,2716,6.06756E-05
Isaiah Hicks,2720,6.0765E-05
Vander Blue,2765,6.17703E-05
Wilson Chandler,2768,6.18373E-05
Langston Galloway,2772,6.19267E-05
Alex Len,2790,6.23288E-05
Lance Thomas,2852,6.37139E-05
Jerryd Bayless,2853,6.37362E-05
Reggie Bullock,2864,6.39819E-05
Tyler Ennis,2883,6.44064E-05
Kyle Singler,2907,6.49426E-05
Shabazz Napier,2921,6.52553E-05
Dante Exum,2929,6.5434E-05
Noah Vonleh,2968,6.63053E-05
DeAndre' Bembry,3000,6.70202E-05
Paul Zipser,3020,6.7467E-05
Wade Baldwin,3056,6.82712E-05
Amir Johnson,3068,6.85393E-05
Timofey Mozgov,3073,6.8651E-05
Dillon Brooks,3090,6.90308E-05
Skal Labissiere,3107,6.94106E-05
Marreese Speights,3110,6.94776E-05
Justise Winslow,3113,6.95446E-05
Taurean Prince,3149,7.03489E-05
Michael Carter-Williams,3194,7.13542E-05
Harry Giles,3200,7.14882E-05
Derrick White,3228,7.21137E-05
Brandon Paul,3256,7.27392E-05
Abdel Nader,3258,7.27839E-05
Meyers Leonard,3264,7.2918E-05
Alex Poythress,3290,7.34988E-05
Thabo Sefolosha,3330,7.43924E-05
Cody Zeller,3332,7.44371E-05
Joe Johnson,3363,7.51296E-05
Tomas Satoransky,3423,7.647E-05
D.J. Augustin,3499,7.81679E-05
Jonas Jerebko,3505,7.83019E-05
A.J. Hammons,3584,8.00668E-05
Gorgui Dieng,3611,8.067E-05
Semi Ojeleye,3673,8.2055E-05
Richaun Holmes,3689,8.24125E-05
Luol Deng,3690,8.24348E-05
Alex Caruso,3698,8.26136E-05
Joe Harris,3705,8.27699E-05
Jabari Bird,3744,8.36412E-05
John Holland,3744,8.36412E-05
Luke Kennard,3778,8.44008E-05
Zach Collins,3832,8.56071E-05
Jason Terry,3862,8.62773E-05
Montrezl Harrell,3892,8.69475E-05
T.J. Leaf,3903,8.71933E-05
Ante Zizic,3905,8.72379E-05
Ekpe Udoh,3951,8.82656E-05
Buddy Hield,4002,8.94049E-05
Greg Monroe,4007,8.95166E-05
Allen Crabbe,4044,9.03432E-05
Trey Lyles,4048,9.04326E-05
Will Barton,4106,9.17283E-05
Guerschon Yabusele,4124,9.21304E-05
Al Jefferson,4147,9.26442E-05
Ivica Zubac,4169,9.31357E-05
Cory Joseph,4185,9.34932E-05
Josh Huestis,4188,9.35602E-05
Maxi Kleber,4220,9.42751E-05
Treveon Graham,4227,9.44314E-05
Luke Babbitt,4245,9.48336E-05
Damian Jones,4328,9.66878E-05
Malik Monk,4432,9.90112E-05
Mario Hezonja,4452,9.9458E-05
Tyler Ulis,4452,9.9458E-05
Ryan Arcidiacono,4465,9.97484E-05
Richard Jefferson,4501,0.000100553
Yogi Ferrell,4502,0.000100575
Shane Larkin,4545,0.000101536
James Michael McAdoo,4564,0.00010196
Matt Costello,4598,0.00010272
Juan Hernangomez,4605,0.000102876
Bobby Portis,4638,0.000103613
Justin Anderson,4655,0.000103993
Cristiano Felicio,4693,0.000104842
Udonis Haslem,4702,0.000105043
Elfrid Payton,4717,0.000105378
Chris Boucher,4751,0.000106138
Tyler Dorsey,4754,0.000106205
Corey Brewer,4972,0.000111075
Maurice Harkless,4979,0.000111231
Lucas Nogueira,4980,0.000111254
Marquese Chriss,5039,0.000112572
Justin Holiday,5046,0.000112728
Denzel Valentine,5049,0.000112795
Bruno Caboclo,5071,0.000113286
Jeremy Lamb,5094,0.0001138
Joffrey Lauvergne,5132,0.000114649
Tony Snell,5144,0.000114917
Tyler Johnson,5205,0.00011628
Sam Dekker,5274,0.000117821
Dragan Bender,5277,0.000117889
Kent Bazemore,5336,0.000119207
Ike Anigbogu,5391,0.000120435
Jerian Grant,5412,0.000120904
Kenneth Faried,5597,0.000125037
Patrick Patterson,5601,0.000125127
Caris LeVert,5623,0.000125618
Fred VanVleet,5660,0.000126445
Thomas Bryant,5699,0.000127316
Dwayne Bacon,5716,0.000127696
Tyus Jones,5782,0.00012917
Andrew Bogut,5790,0.000129349
Trevor Booker,5828,0.000130198
Bismack Biyombo,5841,0.000130488
Mike Scott,6020,0.000134487
Dewayne Dedmon,6074,0.000135694
Wayne Ellington,6247,0.000139558
DeMarre Carroll,6425,0.000143535
John Collins,6509,0.000145411
Tarik Black,6575,0.000146886
Patrick Beverley,6725,0.000150237
Delon Wright,6757,0.000150952
Kyle O'Quinn,6764,0.000151108
Frank Kaminsky,6875,0.000153588
Quinn Cook,6902,0.000154191
Ed Davis,6920,0.000154593
Omer Asik,6996,0.000156291
Austin Rivers,7073,0.000158011
Darren Collison,7092,0.000158436
Kevon Looney,7166,0.000160089
Josh Jackson,7263,0.000162256
Nick Collison,7445,0.000166322
James Johnson,7535,0.000168332
Joakim Noah,7548,0.000168623
Willie Cauley-Stein,7657,0.000171058
Rodney Hood,7742,0.000172957
Tony Allen,7742,0.000172957
Jahlil Okafor,7831,0.000174945
Nicolas Brussino,7945,0.000177492
Alexis Ajinca,8007,0.000178877
Kelly Olynyk,8008,0.000178899
Rondae Hollis-Jefferson,8255,0.000184417
Willy Hernangomez,8439,0.000188528
Doug McDermott,8558,0.000191186
Tyson Chandler,8573,0.000191521
Nicolas Batum,8803,0.00019666
Furkan Korkmaz,8823,0.000197106
Iman Shumpert,8894,0.000198693
Cole Aldrich,8972,0.000200435
Evan Fournier,9177,0.000205015
Michael Kidd-Gilchrist,9353,0.000208947
Markieff Morris,9492,0.000212052
Reggie Jackson,9937,0.000221993
Jeff Teague,9947,0.000222217
Pascal Siakam,10131,0.000226327
Ron Baker,10238,0.000228718
Jarrett Jack,10265,0.000229321
Paul Millsap,10388,0.000232069
Dion Waiters,10512,0.000234839
Robin Lopez,10517,0.00023495
Arron Afflalo,10621,0.000237274
Nemanja Bjelica,10690,0.000238815
Kadeem Allen,10822,0.000241764
Thaddeus Young,10960,0.000244847
Al-Farouq Aminu,11032,0.000246456
Terrance Ferguson,11378,0.000254185
Josh Hart,11383,0.000254297
Markelle Fultz,11551,0.00025805
Jonathon Simmons,11665,0.000260597
Jarrett Allen,11705,0.00026149
Mike Conley,11835,0.000264395
Marco Belinelli,12068,0.0002696
Josh Richardson,12167,0.000271812
Zach Randolph,12280,0.000274336
Daniel Theis,12290,0.000274559
Danilo Gallinari,12296,0.000274693
T.J. Warren,12473,0.000278648
Derrick Favors,12491,0.00027905
Nikola Vucevic,12734,0.000284478
Quincy Acy,12948,0.000289259
Matthew Dellavedova,13206,0.000295023
Gary Harris,13348,0.000298195
Jabari Parker,13373,0.000298754
Boban Marjanovic,13377,0.000298843
Jamal Murray,13391,0.000299156
Jakob Poeltl,13464,0.000300787
Gerald Green,13500,0.000301591
Jrue Holiday,13508,0.00030177
Jerami Grant,13536,0.000302395
Kentavious Caldwell-Pope,13760,0.000307399
Kosta Koufos,13819,0.000308717
Bryn Forbes,13878,0.000310035
Channing Frye,14331,0.000320155
Raymond Felton,14490,0.000323708
T.J. McConnell,14657,0.000327438
Dejounte Murray,15023,0.000335615
Jamal Crawford,15414,0.00034435
Taj Gibson,15417,0.000344417
Norman Powell,15432,0.000344752
Luc Mbah a Moute,15856,0.000354224
Tyreke Evans,16138,0.000360524
Ricky Rubio,16243,0.00036287
Bojan Bogdanovic,16441,0.000367293
John Henson,16459,0.000367695
Kris Dunn,16981,0.000379357
De'Aaron Fox,17127,0.000382618
Terry Rozier,17728,0.000396045
C.J. Miles,17766,0.000396894
Seth Curry,17834,0.000398413
Joe Ingles,18366,0.000410298
Brook Lopez,18907,0.000422384
Thon Maker,19158,0.000427991
Jose Calderon,19280,0.000430716
Avery Bradley,19318,0.000431565
Georgios Papagiannis,20082,0.000448633
Ersan Ilyasova,20404,0.000455827
Bam Adebayo,21028,0.000469767
Dennis Smith Jr.,21205,0.000473721
Lance Stephenson,21254,0.000474816
Patrick McCaw,21266,0.000475084
P.J. Tucker,21879,0.000488778
Courtney Lee,22226,0.00049653
Nene,22502,0.000502696
Marcin Gortat,23934,0.000534687
Harrison Barnes,24636,0.00055037
Marcus Morris,25191,0.000562769
Dennis Schroder,25531,0.000570364
Alex Abrines,25921,0.000579077
Jusuf Nurkic,26211,0.000585555
Milos Teodosic,26374,0.000589197
Zach LaVine,27614,0.000616898
Kelly Oubre Jr.,27847,0.000622104
Domantas Sabonis,27989,0.000625276
Frank Ntilikina,28456,0.000635709
Marcus Smart,29252,0.000653492
Jeremy Lin,30526,0.000681953
Spencer Dinwiddie,30782,0.000687672
Robert Covington,31097,0.000694709
Aron Baynes,31523,0.000704226
Nikola Mirotic,32075,0.000716558
J.J. Barea,32164,0.000718546
J.J. Redick,32874,0.000734407
Larry Nance Jr.,33442,0.000747096
Ryan Anderson,33494,0.000748258
Davis Bertans,33674,0.000752279
Bogdan Bogdanovic,33842,0.000756032
Rajon Rondo,35281,0.00078818
Otto Porter,36302,0.000810989
Dario Saric,36736,0.000820685
Patty Mills,36836,0.000822919
Kyle Anderson,38335,0.000856406
D'Angelo Russell,38712,0.000864829
Malcolm Brogdon,39598,0.000884622
Tobias Harris,40136,0.000896641
Lauri Markkanen,43622,0.000974518
Rudy Gobert,43741,0.000977177
OG Anunoby,44290,0.000989441
Omri Casspi,47561,0.001062516
Julius Randle,48239,0.001077662
Tristan Thompson,48564,0.001084923
Danny Green,48661,0.00108709
Vince Carter,49215,0.001099466
J.R. Smith,49454,0.001104805
Shaun Livingston,50631,0.0011311
Rudy Gay,51456,0.00114953
Myles Turner,52214,0.001166464
Jae Crowder,55405,0.001237751
Tim Hardaway Jr.,57357,0.001281359
Jonas Valanciunas,62472,0.001395628
Michael Beasley,62966,0.001406664
Goran Dragic,63387,0.00141607
Andre Roberson,63984,0.001429407
JaVale McGee,65755,0.001468971
David West,66991,0.001496583
Lou Williams,70050,0.001564921
Jeff Green,70349,0.001571601
Trevor Ariza,70852,0.001582838
Gordon Hayward,79261,0.001770696
Nick Young,79650,0.001779386
Marc Gasol,80251,0.001792812
Cedi Osman,80610,0.001800832
Aaron Gordon,82507,0.001843212
Hassan Whiteside,85802,0.001916822
CJ McCollum,96818,0.00216292
Dirk Nowitzki,98794,0.002207064
Kyle Korver,99576,0.002224534
Kemba Walker,100632,0.002248125
Khris Middleton,109913,0.002455463
Nikola Jokic,114929,0.002567521
Serge Ibaka,117077,0.002615508
Zhou Qi,117623,0.002627705
DeAndre Jordan,120399,0.002689721
Eric Gordon,123412,0.002757032
Eric Bledsoe,124232,0.002775351
Jordan Bell,130915,0.002924649
Zaza Pachulia,134204,0.002998126
Andrew Wiggins,138754,0.003099773
Donovan Mitchell,139468,0.003115724
Tony Parker,139487,0.003116148
Derrick Rose,146481,0.003272395
Pau Gasol,158330,0.003537102
Clint Capela,175917,0.003929997
Dwight Howard,186844,0.004174107
Jordan Clarkson,188834,0.004218563
Blake Griffin,194045,0.004334977
Jaylen Brown,205104,0.004582036
Andre Drummond,220736,0.004931256
Brandon Ingram,230653,0.005152802
Andre Iguodala,258417,0.005773052
Devin Booker,268041,0.005988053
Bradley Beal,269238,0.006014794
Enes Kanter,294926,0.006588665
Kyle Lowry,322036,0.007194304
Jimmy Butler,329435,0.007359599
Steven Adams,360822,0.008060786
Al Horford,384936,0.008599494
Jayson Tatum,422620,0.009441357
Damian Lillard,439462,0.009817609
Isaiah Thomas,449091,0.010032721
Kyle Kuzma,524927,0.011726902
John Wall,542836,0.01212699
Karl-Anthony Towns,552376,0.012340114
Chris Paul,562428,0.012564677
LaMarcus Aldridge,578853,0.012931612
Lonzo Ball,607961,0.013581887
Carmelo Anthony,612021,0.013672587
Dwyane Wade,617271,0.013789873
Victor Oladipo,634495,0.014174658
Ben Simmons,669397,0.014954371
Kawhi Leonard,741838,0.016572707
Kevin Love,771929,0.017244942
Paul George,881287,0.019688007
DeMarcus Cousins,922269,0.020603547
DeMar DeRozan,998999,0.0223177
Anthony Davis,1088230,0.024311126
Kristaps Porzingis,1116769,0.024948689
Draymond Green,1135478,0.02536665
Klay Thompson,1239768,0.027696495
Russell Westbrook,1241129,0.0277269
Joel Embiid,1285587,0.028720094
James Harden,1486830,0.033215875
Manu Ginobili,1808860,0.040410046
Kyrie Irving,2170833,0.048496545
Kevin Durant,2238406,0.05000613
Stephen Curry,2379494,0.053158045
Giannis Antetokounmpo,2530211,0.056525072
LeBron James,2638294,0.058939653
