Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG,RPG,APG,STLPG,BLKPG,MPG,Username,pagerank,eigen,load,betw,followers,Votes
2017.0,Chris Andersen,C,38.0,CLE,12.0,0.0,114.0,11.6,0.49700000000000005,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,0.102,-3.8,3.0,-0.9,0.0,9.0,22.0,0.409,0.0,3.0,0.0,9.0,19.0,0.474,0.409,10.0,14.0,0.7140000000000001,9.0,22.0,31.0,5.0,5.0,7.0,5.0,20.0,28.0,2.3333333333333335,2.5833333333333335,0.4166666666666667,0.4166666666666667,0.5833333333333334,9.5,0.0,0.0,0.0,0.0,0.0,0.0,16219.0
2017.0,Alan Anderson,SF,34.0,LAC,30.0,0.0,308.0,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,0.02,-2.6,-2.3,-4.9,-0.2,30.0,80.0,0.375,14.0,44.0,0.318,16.0,36.0,0.444,0.46299999999999997,12.0,16.0,0.75,3.0,21.0,24.0,11.0,3.0,0.0,7.0,35.0,86.0,2.8666666666666667,0.8,0.36666666666666664,0.1,0.0,10.266666666666667,dubblea74,0.002841099,0.037046926,1.66e-05,1.6899999999999997e-05,5401.0,3096.0
2017.0,Justin Anderson,SF,23.0,TOT,75.0,10.0,1228.0,13.9,0.537,0.442,0.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.07400000000000001,-1.2,-0.3,-1.6,0.1,186.0,439.0,0.424,58.0,194.0,0.299,128.0,245.0,0.522,0.49,102.0,129.0,0.7909999999999999,69.0,176.0,245.0,66.0,41.0,23.0,66.0,109.0,532.0,7.093333333333334,3.2666666666666666,0.88,0.5466666666666666,0.30666666666666664,16.373333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3045.0
2017.0,Kyle Anderson,SG,23.0,SAS,72.0,14.0,1020.0,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,0.127,-2.1,3.7,1.6,0.9,93.0,209.0,0.445,15.0,40.0,0.375,78.0,169.0,0.462,0.48100000000000004,45.0,57.0,0.789,33.0,175.0,208.0,91.0,51.0,26.0,39.0,63.0,246.0,3.4166666666666665,2.888888888888889,1.2638888888888888,0.7083333333333334,0.3611111111111111,14.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10754.0
2017.0,Ryan Anderson,PF,28.0,HOU,72.0,72.0,2116.0,13.5,0.583,0.655,0.19399999999999998,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.11800000000000001,1.8,-2.6,-0.8,0.6,323.0,773.0,0.418,204.0,506.0,0.40299999999999997,119.0,267.0,0.446,0.55,129.0,150.0,0.86,112.0,218.0,330.0,68.0,32.0,14.0,55.0,142.0,979.0,13.597222222222221,4.583333333333333,0.9444444444444444,0.4444444444444444,0.19444444444444445,29.38888888888889,0.0,0.0,0.0,0.0,0.0,0.0,207227.0
2017.0,Giannis Antetokounmpo,SF,22.0,MIL,80.0,80.0,2845.0,26.1,0.599,0.14300000000000002,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9,656.0,1259.0,0.521,49.0,180.0,0.272,607.0,1079.0,0.563,0.541,471.0,612.0,0.77,142.0,558.0,700.0,434.0,131.0,151.0,234.0,246.0,1832.0,22.9,8.75,5.425,1.6375,1.8875,35.5625,giannis_an34,0.004280776,0.03618111,0.002072423,0.00196922,4706806.0,1604463.0
2017.0,Carmelo Anthony,SF,32.0,NYK,74.0,74.0,2538.0,17.9,0.535,0.303,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.08900000000000001,1.5,-2.2,-0.7,0.8,602.0,1389.0,0.433,151.0,421.0,0.359,451.0,968.0,0.466,0.488,304.0,365.0,0.833,62.0,374.0,436.0,213.0,60.0,34.0,153.0,198.0,1659.0,22.41891891891892,5.891891891891892,2.8783783783783785,0.8108108108108109,0.4594594594594595,34.2972972972973,carmeloanthony,0.011700442,0.165995258,0.00483707,0.005114604,6460468.0,544133.0
2017.0,Trevor Ariza,SF,31.0,HOU,80.0,80.0,2773.0,12.3,0.5479999999999999,0.695,0.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1,2.8,3.2,6.0,0.10400000000000001,0.7,1.0,1.7,2.6,326.0,798.0,0.409,191.0,555.0,0.344,135.0,243.0,0.556,0.528,93.0,126.0,0.738,54.0,405.0,459.0,175.0,147.0,20.0,74.0,133.0,936.0,11.7,5.7375,2.1875,1.8375,0.25,34.6625,0.0,0.0,0.0,0.0,0.0,0.0,221369.0
2017.0,Darrell Arthur,PF,28.0,DEN,41.0,7.0,639.0,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,95.0,215.0,0.442,53.0,117.0,0.45299999999999996,42.0,98.0,0.429,0.565,19.0,22.0,0.8640000000000001,25.0,87.0,112.0,42.0,19.0,21.0,36.0,76.0,262.0,6.390243902439025,2.731707317073171,1.024390243902439,0.4634146341463415,0.5121951219512195,15.585365853658537,0.0,0.0,0.0,0.0,0.0,0.0,1733.0
2017.0,Omer Asik,C,30.0,NOP,31.0,19.0,482.0,9.8,0.517,0.0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1.0,0.1,-4.3,1.2,-3.1,-0.1,31.0,65.0,0.47700000000000004,0.0,0.0,,31.0,65.0,0.47700000000000004,0.47700000000000004,23.0,39.0,0.59,48.0,115.0,163.0,15.0,5.0,10.0,14.0,51.0,85.0,2.7419354838709675,5.258064516129032,0.4838709677419355,0.16129032258064516,0.3225806451612903,15.548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,9917.0
