Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
24,D.J. Augustin\augusdj01,PG,31,ORL,71,1966,15.9,.626,.469,.321,1.9,7.0,4.4,26.4,1.1,0.1,13.9,16.9,,4.6,1.6,6.2,.152,,1.8,-2.0,-0.2,0.9
25,Deandre Ayton\aytonde01,C,20,PHO,66,2043,20.7,.608,.005,.215,11.1,26.2,18.5,10.1,1.4,2.5,11.2,21.0,,4.1,1.7,5.8,.137,,0.2,0.5,0.8,1.4
26,Dwayne Bacon\bacondw01,SG,23,CHO,31,419,10.6,.574,.290,.221,1.0,13.1,6.9,8.8,0.6,0.4,8.3,16.1,,0.4,0.2,0.6,.066,,-2.2,-2.5,-4.7,-0.3
27,Marvin Bagley\baglema01,PF,19,SAC,51,1255,19.1,.580,.129,.397,10.0,19.9,14.9,6.2,1.0,3.2,11.3,23.3,,1.9,1.4,3.3,.125,,-0.8,-0.4,-1.2,0.3
28,Ron Baker\bakerro01,SG,25,TOT,15,152,2.5,.309,.650,.300,0.7,7.2,3.9,12.8,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.034,,-5.8,-0.8,-6.6,-0.2
28,Ron Baker\bakerro01,SG,25,NYK,11,107,4.4,.376,.563,.375,1.0,6.1,3.4,16.0,2.2,0.0,13.9,8.6,,0.0,0.0,0.0,.002,,-4.5,-1.5,-6.0,-0.1
28,Ron Baker\bakerro01,SG,25,WAS,4,45,-2.0,.000,1.000,.000,0.0,9.8,4.9,5.1,1.1,1.9,33.3,5.7,,-0.1,0.0,-0.1,-0.120,,-8.8,0.8,-8.0,-0.1
29,Wade Baldwin\baldwwa01,PG,22,POR,16,94,1.3,.396,.273,.333,2.3,14.4,8.5,16.8,0.5,1.7,27.0,23.3,,-0.4,0.1,-0.3,-0.153,,-9.4,-1.4,-10.8,-0.2
30,Lonzo Ball\balllo01,PG,21,LAL,47,1423,11.8,.487,.500,.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,,-0.2,1.6,1.5,.050,,-0.9,1.3,0.4,0.9
31,Mohamed Bamba\bambamo01,C,20,ORL,47,766,15.0,.539,.288,.259,8.8,23.8,16.2,7.5,0.8,7.0,13.7,17.9,,0.3,1.4,1.7,.107,,-3.3,3.3,-0.1,0.4
32,J.J. Barea\bareajo01,PG,34,DAL,38,752,16.5,.495,.332,.203,1.9,11.7,6.8,47.9,1.4,0.1,14.7,28.1,,0.5,0.5,1.0,.065,,1.1,-2.3,-1.2,0.2
33,Harrison Barnes\barneha02,PF-SF,26,TOT,65,2153,13.1,.547,.435,.270,2.5,12.9,7.7,6.7,1.1,0.5,7.8,21.5,,1.7,1.5,3.2,.070,,-0.6,-1.8,-2.4,-0.2
33,Harrison Barnes\barneha02,PF,26,DAL,49,1584,13.2,.538,.434,.276,2.5,11.6,7.1,6.3,1.0,0.6,7.8,23.6,,1.0,1.0,2.0,.060,,-0.8,-2.2,-3.1,-0.4
33,Harrison Barnes\barneha02,SF,26,SAC,16,569,12.9,.582,.439,.244,2.5,16.6,9.4,7.7,1.2,0.1,7.9,15.7,,0.7,0.5,1.2,.100,,0.1,-0.6,-0.5,0.2
34,Will Barton\bartowi01,SG,28,DEN,30,850,12.7,.524,.425,.184,3.1,15.8,9.4,16.1,0.9,1.8,12.0,20.4,,0.5,0.8,1.4,.076,,-0.8,-0.3,-1.1,0.2
35,Keita Bates-Diop\bateske01,SF,23,MIN,19,293,9.5,.474,.398,.241,3.6,14.4,9.0,5.0,1.1,2.6,7.1,14.1,,0.0,0.2,0.2,.028,,-3.3,-0.6,-3.9,-0.1
36,Nicolas Batum\batumni01,SF,30,CHO,69,2221,12.3,.587,.526,.162,3.3,14.8,8.9,14.9,1.5,1.6,16.3,13.6,,2.1,1.7,3.8,.083,,0.2,0.9,1.2,1.8
37,Jerryd Bayless\bayleje01,PG,30,MIN,26,510,7.5,.423,.469,.067,1.9,8.1,4.9,23.1,1.2,0.2,12.4,17.3,,-0.3,0.1,-0.2,-0.015,,-2.6,-2.9,-5.5,-0.4
38,Aron Baynes\baynear01,C,32,BOS,43,634,14.0,.557,.307,.302,11.7,18.6,15.2,10.4,0.7,3.5,13.6,15.9,,1.0,0.8,1.8,.138,,-0.9,1.1,0.2,0.4
39,Kent Bazemore\bazemke01,SG,29,ATL,58,1470,12.5,.517,.422,.266,2.5,14.7,8.5,13.8,2.6,2.4,14.1,22.0,,-0.4,1.4,1.0,.033,,-1.9,0.3,-1.6,0.1
40,Bradley Beal\bealbr01,SG,25,WAS,72,2715,20.8,.584,.373,.279,3.3,12.0,7.6,24.1,1.9,1.7,11.4,28.4,,5.4,1.6,6.9,.123,,3.9,-1.0,2.9,3.3
41,Malik Beasley\beaslma01,SG,22,DEN,69,1640,14.7,.620,.548,.079,2.0,9.6,5.8,7.7,1.3,0.4,6.2,17.9,,3.1,1.3,4.5,.131,,2.1,-2.0,0.1,0.9
42,Michael Beasley\beaslmi01,PF,30,LAL,26,277,16.0,.532,.111,.255,5.0,17.2,11.2,14.8,1.5,2.9,13.7,29.6,,-0.1,0.3,0.2,.037,,-3.7,-0.6,-4.3,-0.2
43,Marco Belinelli\belinma01,SG,32,SAS,70,1620,12.8,.569,.572,.192,1.0,10.6,5.8,10.5,1.0,0.4,8.4,19.7,,1.7,0.9,2.6,.078,,1.0,-2.4,-1.4,0.2
44,Jordan Bell\belljo01,C,24,GSW,58,663,13.5,.551,.014,.240,8.1,17.5,13.0,12.3,1.4,5.5,16.5,12.4,,0.7,0.9,1.6,.114,,-2.5,3.1,0.6,0.4
