Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
497,Andrew Wiggins\wiggian01,SF,23,MIN,62,62,2156,406,1019,.398,97,295,.329,309,724,.427,.446,177,254,.697,70,230,300,147,62,42,110,124,1086
498,Alan Williams\willial03,PF,26,BRK,4,0,22,6,10,.600,0,1,.000,6,9,.667,.600,2,4,.500,4,13,17,3,1,0,1,2,14
499,C.J. Williams\willicj01,SG,28,MIN,12,0,90,12,26,.462,2,11,.182,10,15,.667,.500,0,0,,1,4,5,11,3,0,4,13,26
500,Johnathan Williams\willijo04,C,23,LAL,14,0,189,30,53,.566,0,1,.000,30,52,.577,.566,8,18,.444,22,23,45,6,2,5,10,38,68
501,Kenrich Williams\willike04,SF,24,NOP,38,21,845,87,223,.390,41,121,.339,46,102,.451,.482,11,17,.647,43,135,178,56,32,13,27,80,226
502,Lou Williams\willilo02,SG,32,LAC,66,0,1749,431,1013,.425,91,259,.351,340,754,.451,.470,386,439,.879,35,160,195,349,50,8,157,71,1339
503,Marvin Williams\willima02,PF,32,CHO,68,68,1954,252,600,.420,131,353,.371,121,247,.490,.529,62,82,.756,72,310,382,86,60,54,43,146,697
504,Robert Williams\williro04,C,21,BOS,28,0,232,32,43,.744,0,0,,32,43,.744,.744,9,14,.643,23,39,62,5,8,33,9,29,73
505,Troy Williams\willitr02,SF,24,SAC,18,0,286,40,87,.460,14,41,.341,26,46,.565,.540,9,15,.600,9,46,55,10,10,8,8,34,103
506,D.J. Wilson\wilsodj01,PF,22,MIL,38,0,661,74,182,.407,32,93,.344,42,89,.472,.495,15,32,.469,35,127,162,36,15,19,24,67,195
507,Justise Winslow\winslju01,PF,22,MIA,61,48,1814,301,690,.436,89,234,.380,212,456,.465,.501,83,132,.629,60,272,332,263,65,17,130,159,774
508,Christian Wood\woodch01,PF,23,MIL,13,0,62,12,25,.480,3,5,.600,9,20,.450,.540,10,15,.667,4,16,20,2,0,0,3,3,37
509,Delon Wright\wrighde01,PG,26,TOT,64,5,1326,183,431,.425,38,130,.292,145,301,.482,.469,86,102,.843,52,140,192,164,63,23,57,81,490
509,Delon Wright\wrighde01,PG,26,TOR,49,2,897,127,293,.433,30,90,.333,97,203,.478,.485,53,61,.869,39,86,125,110,46,15,37,53,337
509,Delon Wright\wrighde01,PG,26,MEM,15,3,429,56,138,.406,8,40,.200,48,98,.490,.435,33,41,.805,13,54,67,54,17,8,20,28,153
510,Guerschon Yabusele\yabusgu01,PF,23,BOS,34,0,184,26,60,.433,5,21,.238,21,39,.538,.475,13,18,.722,18,22,40,12,7,7,12,28,70
511,Nick Young\youngni01,SG,33,DEN,4,0,37,3,9,.333,3,8,.375,0,1,.000,.500,0,0,,0,1,1,2,0,1,2,4,9
512,Thaddeus Young\youngth01,PF,30,IND,72,72,2219,387,745,.519,45,128,.352,342,617,.554,.550,74,116,.638,173,294,467,175,114,34,105,178,893
513,Trae Young\youngtr01,PG,20,ATL,72,72,2214,448,1078,.416,139,414,.336,309,664,.465,.480,295,358,.824,53,205,258,561,61,14,282,123,1330
514,Cody Zeller\zelleco01,C,26,CHO,49,47,1243,190,345,.551,6,22,.273,184,323,.570,.559,111,141,.787,110,223,333,102,38,41,62,164,497
515,Tyler Zeller\zellety01,C,29,ATL,2,0,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,2,4,6,1,0,0,0,4,0
516,Ante Zizic\zizican01,C,22,CLE,52,22,962,157,291,.540,0,0,,157,291,.540,.540,80,112,.714,92,190,282,42,13,19,51,102,394
517,Ivica Zubac\zubaciv01,C,21,TOT,49,28,836,170,317,.536,0,0,,170,317,.536,.536,87,109,.798,97,191,288,53,8,40,58,116,427
517,Ivica Zubac\zubaciv01,C,21,LAL,33,12,516,112,193,.580,0,0,,112,193,.580,.580,57,66,.864,54,108,162,25,4,27,33,73,281
517,Ivica Zubac\zubaciv01,C,21,LAC,16,16,320,58,124,.468,0,0,,58,124,.468,.468,30,43,.698,43,83,126,28,4,13,25,43,146
