Player,Votes
Alex Poythress,7.35E-05
Thabo Sefolosha,7.44E-05
Cody Zeller,7.44E-05
Joe Johnson,7.51E-05
Tomas Satoransky,7.65E-05
D.J. Augustin,7.82E-05
Jonas Jerebko,7.83E-05
A.J. Hammons,8.01E-05
Gorgui Dieng,8.07E-05
Semi Ojeleye,8.21E-05
Richaun Holmes,8.24E-05
Luol Deng,8.24E-05
Alex Caruso,8.26E-05
Joe Harris,8.28E-05
Jabari Bird,8.36E-05
John Holland,8.36E-05
Luke Kennard,8.44E-05
Zach Collins,8.56E-05
Jason Terry,8.63E-05
Montrezl Harrell,8.69E-05
T.J. Leaf,8.72E-05
Ante Zizic,8.72E-05
Ekpe Udoh,8.83E-05
Buddy Hield,8.94E-05
Greg Monroe,8.95E-05
Allen Crabbe,9.03E-05
Trey Lyles,9.04E-05
Will Barton,9.17E-05
Guerschon Yabusele,9.21E-05
Al Jefferson,9.26E-05
Ivica Zubac,9.31E-05
Cory Joseph,9.35E-05
Josh Huestis,9.36E-05
Maxi Kleber,9.43E-05
Treveon Graham,9.44E-05
Luke Babbitt,9.48E-05
Damian Jones,9.67E-05
Malik Monk,9.90E-05
Mario Hezonja,9.95E-05
Tyler Ulis,9.95E-05
Ryan Arcidiacono,9.97E-05
Richard Jefferson,0.000100553
Yogi Ferrell,0.000100575
Shane Larkin,0.000101536
James Michael McAdoo,0.00010196
Matt Costello,0.00010272
Juan Hernangomez,0.000102876
Bobby Portis,0.000103613
Justin Anderson,0.000103993
Cristiano Felicio,0.000104842
Udonis Haslem,0.000105043
Elfrid Payton,0.000105378
Chris Boucher,0.000106138
Tyler Dorsey,0.000106205
Corey Brewer,0.000111075
Maurice Harkless,0.000111231
Lucas Nogueira,0.000111254
Marquese Chriss,0.000112572
Justin Holiday,0.000112728
Denzel Valentine,0.000112795
Bruno Caboclo,0.000113286
Jeremy Lamb,0.0001138
Joffrey Lauvergne,0.000114649
Tony Snell,0.000114917
Tyler Johnson,0.00011628
Sam Dekker,0.000117821
Dragan Bender,0.000117889
Kent Bazemore,0.000119207
Ike Anigbogu,0.000120435
Jerian Grant,0.000120904
Kenneth Faried,0.000125037
Patrick Patterson,0.000125127
Caris LeVert,0.000125618
Fred VanVleet,0.000126445
Thomas Bryant,0.000127316
Dwayne Bacon,0.000127696
Tyus Jones,0.00012917
Andrew Bogut,0.000129349
Trevor Booker,0.000130198
Bismack Biyombo,0.000130488
Mike Scott,0.000134487
Dewayne Dedmon,0.000135694
Wayne Ellington,0.000139558
DeMarre Carroll,0.000143535
John Collins,0.000145411
Tarik Black,0.000146886
Patrick Beverley,0.000150237
Delon Wright,0.000150952
Kyle O'Quinn,0.000151108
Frank Kaminsky,0.000153588
Quinn Cook,0.000154191
Ed Davis,0.000154593
Omer Asik,0.000156291
Austin Rivers,0.000158011
Darren Collison,0.000158436
Kevon Looney,0.000160089
Josh Jackson,0.000162256
Nick Collison,0.000166322
James Johnson,0.000168332
Joakim Noah,0.000168623
Willie Cauley-Stein,0.000171058
Rodney Hood,0.000172957
Tony Allen,0.000172957
Jahlil Okafor,0.000174945
Nicolas Brussino,0.000177492
Alexis Ajinca,0.000178877
Kelly Olynyk,0.000178899
Rondae Hollis-Jefferson,0.000184417
Willy Hernangomez,0.000188528
Doug McDermott,0.000191186
Tyson Chandler,0.000191521
Nicolas Batum,0.00019666
Furkan Korkmaz,0.000197106
Iman Shumpert,0.000198693
Cole Aldrich,0.000200435
Evan Fournier,0.000205015
Michael Kidd-Gilchrist,0.000208947
Markieff Morris,0.000212052
Reggie Jackson,0.000221993
Jeff Teague,0.000222217
Pascal Siakam,0.000226327
Ron Baker,0.000228718
Jarrett Jack,0.000229321
Paul Millsap,0.000232069
Dion Waiters,0.000234839
Robin Lopez,0.00023495
Arron Afflalo,0.000237274
Nemanja Bjelica,0.000238815
Kadeem Allen,0.000241764
Thaddeus Young,0.000244847
Al-Farouq Aminu,0.000246456
Terrance Ferguson,0.000254185
Josh Hart,0.000254297
Markelle Fultz,0.00025805
Jonathon Simmons,0.000260597
Jarrett Allen,0.00026149
Mike Conley,0.000264395
Marco Belinelli,0.0002696
Josh Richardson,0.000271812
Zach Randolph,0.000274336
Daniel Theis,0.000274559
