Player,Votes
Eric Moreland,6.01E-06
Andrew Harrison,9.31E-06
Kenrich Williams,1.05E-05
Jarnell Stokes,1.17E-05
Davon Reed,1.25E-05
MarShon Brooks,1.45E-05
Zach Lofton,1.52E-05
Jarell Martin,1.56E-05
Trevon Bluiett,1.67E-05
Troy Caupain,1.77E-05
Solomon Hill,1.79E-05
Ivan Rabb,1.82E-05
Melvin Frazier,1.86E-05
Shelvin Mack,1.86E-05
Joe Chealey,1.86E-05
Edmond Sumner,1.87E-05
Sindarius Thornwell,1.94E-05
Jerome Robinson,2.04E-05
Johnathan Motley,2.05E-05
Wesley Johnson,2.14E-05
Ian Clark,2.16E-05
Jordan McRae,2.20E-05
Wayne Selden,2.22E-05
Darius Miller,2.25E-05
Brandon Sampson,2.29E-05
Keenan Evans,2.29E-05
Yante Maten,2.33E-05
Tim Frazier,2.37E-05
Tyler Cavanaugh,2.37E-05
Chasson Randle,2.39E-05
Gary Trent Jr.,2.46E-05
Jared Terrell,2.53E-05
Demetrius Jackson,2.56E-05
Quincy Pondexter,2.64E-05
Skal Labissiere,2.76E-05
Theo Pinson,2.82E-05
Amile Jefferson,2.83E-05
Devin Robinson,2.83E-05
Tony Bradley,2.85E-05
Ben Moore,2.91E-05
Troy Williams,2.96E-05
Isaiah Hicks,2.98E-05
Chimezie Metu,3.01E-05
Tyrone Wallace,3.02E-05
Wesley Iwundu,3.02E-05
Tyler Lydon,3.02E-05
Wenyen Gabriel,3.07E-05
Cheick Diallo,3.08E-05
Jerian Grant,3.11E-05
Jarred Vanderbilt,3.14E-05
Khyri Thomas,3.23E-05
Ian Mahinmi,3.28E-05
Georges Niang,3.29E-05
Lance Thomas,3.29E-05
George King,3.31E-05
John Henson,3.37E-05
Chandler Parsons,3.38E-05
C.J. Williams,3.39E-05
Garrett Temple,3.40E-05
Patrick McCaw,3.43E-05
Anfernee Simons,3.44E-05
Luc Mbah a Moute,3.49E-05
Frank Jackson,3.52E-05
Khem Birch,3.57E-05
Jalen Jones,3.60E-05
Naz Mitrou-Long,3.61E-05
Daniel Hamilton,3.62E-05
Miles Plumlee,3.63E-05
Glenn Robinson III,3.64E-05
Alize Johnson,3.72E-05
Isaiah Briscoe,3.75E-05
David Nwaba,3.78E-05
Jon Leuer,3.79E-05
Ben McLemore,3.79E-05
J.P. Macura,3.80E-05
JaMychal Green,3.81E-05
Lorenzo Brown,3.81E-05
Justin Patton,3.82E-05
Thomas Welsh,3.84E-05
Omari Spellman,3.88E-05
James Nunnally,3.95E-05
E'Twaun Moore,3.97E-05
Alex Poythress,4.00E-05
Shaquille Harrison,4.20E-05
Courtney Lee,4.21E-05
Mike Scott,4.27E-05
Drew Eubanks,4.30E-05
Troy Daniels,4.34E-05
Cameron Payne,4.34E-05
Jawun Evans,4.41E-05
