Player,Votes
Arinze Onuaku,5.67E-06
Pierre Jackson,5.77E-06
C.J. Wilcox,7.53E-06
John Jenkins,8.34E-06
C.J. Watson,9.68E-06
John Lucas III,1.02E-05
Ryan Kelly,1.19E-05
Brian Roberts,1.27E-05
Derrick Jones Jr.,1.33E-05
Andrew Nicholson,1.39E-05
Quincy Acy,1.44E-05
Josh McRoberts,1.45E-05
E'Twaun Moore,1.47E-05
Georges Niang,1.52E-05
Mike Scott,1.54E-05
Brandan Wright,1.56E-05
Christian Wood,1.56E-05
Alan Williams,1.59E-05
Alonzo Gee,1.61E-05
Darrun Hilliard,1.68E-05
Treveon Graham,1.68E-05
Danuel House,1.71E-05
Daniel Ochefu,1.77E-05
Quincy Pondexter,1.86E-05
Malachi Richardson,1.88E-05
Ramon Sessions,1.89E-05
Jeff Withey,1.94E-05
Skal Labissiere,1.99E-05
Rodney McGruder,2.00E-05
Stephen Zimmerman,2.01E-05
Tim Quarterman,2.01E-05
Marcus Thornton,2.03E-05
Joe Young,2.05E-05
A.J. Hammons,2.06E-05
Spencer Dinwiddie,2.20E-05
Jarell Martin,2.22E-05
Kevin Seraphin,2.23E-05
Sheldon Mac,2.24E-05
Solomon Hill,2.24E-05
Reggie Bullock,2.25E-05
Adreian Payne,2.26E-05
Damjan Rudez,2.28E-05
Beno Udrih,2.30E-05
Cheick Diallo,2.30E-05
Jordan Hill,2.31E-05
Michael Gbinije,2.33E-05
Taurean Prince,2.34E-05
Chris McCullough,2.39E-05
Pat Connaughton,2.41E-05
Rodney Stuckey,2.45E-05
Diamond Stone,2.50E-05
Shabazz Napier,2.56E-05
Jameer Nelson,2.60E-05
Mike Muscala,2.70E-05
Noah Vonleh,2.75E-05
Willie Reed,2.79E-05
Anthony Tolliver,2.84E-05
Fred VanVleet,2.86E-05
Maurice Ndour,2.87E-05
Troy Williams,2.87E-05
Ben McLemore,2.94E-05
Derrick Williams,3.03E-05
Andrew Harrison,3.08E-05
Jordan Mickey,3.11E-05
Mike Miller,3.17E-05
Deyonta Davis,3.18E-05
Jared Dudley,3.20E-05
Ian Mahinmi,3.30E-05
Brandon Rush,3.37E-05
Jake Layman,3.37E-05
P.J. Tucker,3.37E-05
Alex Len,3.40E-05
Jason Smith,3.49E-05
Joel Bolomboy,3.50E-05
Delon Wright,3.57E-05
Devin Harris,3.62E-05
Ish Smith,3.67E-05
Stanley Johnson,3.67E-05
Rakeem Christmas,3.69E-05
Jodie Meeks,3.71E-05
James Young,3.71E-05
Langston Galloway,3.72E-05
Dante Cunningham,3.79E-05
Josh Huestis,3.81E-05
Henry Ellenson,3.84E-05
Donatas Motiejunas,3.86E-05
Spencer Hawes,3.91E-05
DeAndre' Bembry,3.99E-05
Jon Leuer,3.99E-05
Tim Frazier,4.06E-05
Wayne Ellington,4.11E-05
Festus Ezeli,4.15E-05
Dorian Finney-Smith,4.17E-05
Terrence Jones,4.26E-05
Raul Neto,4.34E-05
Kris Humphries,4.37E-05
Glenn Robinson III,4.47E-05
Tiago Splitter,4.53E-05
Brice Johnson,4.55E-05
Darrell Arthur,4.55E-05
Nicolas Brussino,4.57E-05
Garrett Temple,4.63E-05
Tomas Satoransky,4.75E-05
Marshall Plumlee,4.88E-05
Jeff Green,4.88E-05
Bryn Forbes,4.89E-05
Justin Hamilton,4.92E-05
Shelvin Mack,4.96E-05
Malcolm Delaney,4.96E-05
Tyler Ulis,4.99E-05
Isaiah Whitehead,5.01E-05
Darren Collison,5.11E-05
Mario Hezonja,5.12E-05
C.J. Miles,5.16E-05
Alec Burks,5.20E-05
Roy Hibbert,5.21E-05
Dwight Powell,5.23E-05
Rashad Vaughn,5.31E-05
Demetrius Jackson,5.37E-05
Jerian Grant,5.39E-05
Bobby Brown,5.41E-05
Malik Beasley,5.41E-05
Shabazz Muhammad,5.49E-05
Nikola Pekovic,5.53E-05
Ty Lawson,5.54E-05
Bobby Portis,5.58E-05
Tyler Zeller,5.67E-05
James Ennis,5.74E-05
Wade Baldwin,5.85E-05
Paul Zipser,5.96E-05
T.J. Warren,5.97E-05
Evan Turner,6.23E-05
Isaiah Canaan,6.26E-05
Tyus Jones,6.31E-05
Marquese Chriss,6.41E-05
Allen Crabbe,6.46E-05
Aaron Brooks,6.49E-05
Mo Williams,6.54E-05
Jeremy Lamb,6.55E-05
Randy Foye,6.64E-05
Trey Burke,6.64E-05
Lance Thomas,6.65E-05
Gary Harris,6.72E-05
Caris LeVert,6.73E-05
Miles Plumlee,6.75E-05
Rondae Hollis-Jefferson,6.78E-05
Jusuf Nurkic,6.80E-05
Dion Waiters,6.84E-05
Dragan Bender,6.85E-05
Tyreke Evans,6.88E-05
Jared Sullinger,7.03E-05
Joe Harris,7.06E-05
Brandon Knight,7.13E-05
Josh Richardson,7.20E-05
Will Barton,7.42E-05
Luke Babbitt,7.49E-05
Marcus Morris,7.58E-05
Al Jefferson,7.70E-05
Richaun Holmes,7.73E-05
Aron Baynes,7.79E-05
Ed Davis,7.82E-05
Willie Cauley-Stein,7.84E-05
Justin Anderson,7.99E-05
Thabo Sefolosha,8.03E-05
Thaddeus Young,8.07E-05
Alan Anderson,8.12E-05
Semaj Christon,8.17E-05
Trey Lyles,8.19E-05
Udonis Haslem,8.30E-05
Brandon Bass,8.33E-05
Terry Rozier,8.37E-05
Marcelo Huertas,8.41E-05
Sasha Vujacic,8.44E-05
Jerryd Bayless,8.54E-05
James Johnson,8.75E-05
Omri Casspi,8.88E-05
Dante Exum,8.95E-05
Troy Daniels,9.16E-05
Jamal Murray,9.25E-05
Meyers Leonard,9.39E-05
Ivica Zubac,9.40E-05
Timothe Luwawu-Cabarrot,9.45E-05
Gerald Henderson,9.50E-05
Juan Hernangomez,9.54E-05
Denzel Valentine,9.71E-05
Matt Barnes,9.98E-05
Alexis Ajinca,1.02E-04
Lavoy Allen,1.02E-04
Steve Novak,1.03E-04
Kyle Singler,1.04E-04
Kelly Oubre Jr.,1.05E-04
Joe Johnson,1.06E-04
JaMychal Green,1.08E-04
Wesley Matthews,1.09E-04
Jakob Poeltl,1.10E-04
Wesley Johnson,1.11E-04
Cristiano Felicio,1.11E-04
Gorgui Dieng,1.11E-04
Marvin Williams,1.11E-04
Kyle Wiltjer,1.13E-04
Maurice Harkless,1.15E-04
Thomas Robinson,1.15E-04
Arron Afflalo,1.16E-04
Kris Dunn,1.18E-04
Wilson Chandler,1.18E-04
Elfrid Payton,1.22E-04
Jonas Jerebko,1.22E-04
Sean Kilpatrick,1.24E-04
D.J. Augustin,1.27E-04
Buddy Hield,1.28E-04
Chandler Parsons,1.29E-04
Al-Farouq Aminu,1.30E-04
Mike Dunleavy,1.31E-04
Trevor Booker,1.32E-04
Markieff Morris,1.33E-04
Tyler Johnson,1.34E-04
Boris Diaw,1.34E-04
Raymond Felton,1.35E-04
Bruno Caboclo,1.36E-04
Joffrey Lauvergne,1.37E-04
Mirza Teletovic,1.40E-04
Tarik Black,1.41E-04
Justise Winslow,1.42E-04
Frank Kaminsky,1.42E-04
Leandro Barbosa,1.42E-04
Luis Scola,1.46E-04
Justin Holiday,1.48E-04
Kent Bazemore,1.49E-04
Jrue Holiday,1.51E-04
Emmanuel Mudiay,1.51E-04
Dejounte Murray,1.54E-04
Tobias Harris,1.54E-04
Jason Terry,1.57E-04
Chinanu Onuaku,1.58E-04
Cody Zeller,1.62E-04
Tim Hardaway Jr.,1.63E-04
Nick Collison,1.63E-04
Jose Calderon,1.65E-04
Cole Aldrich,1.65E-04
Monta Ellis,1.66E-04
Khris Middleton,1.67E-04
Tyson Chandler,1.68E-04
Kentavious Caldwell-Pope,1.69E-04
Cameron Payne,1.73E-04
Nik Stauskas,1.75E-04
Mason Plumlee,1.81E-04
J.J. Barea,1.82E-04
Tony Snell,1.82E-04
Deron Williams,1.88E-04
Nikola Vucevic,1.89E-04
Gerald Green,1.90E-04
Kelly Olynyk,1.95E-04
Anthony Morrow,1.96E-04
Doug McDermott,1.96E-04
Reggie Jackson,2.03E-04
Bismack Biyombo,2.05E-04
Amir Johnson,2.08E-04
Robert Covington,2.12E-04
K.J. McDaniels,2.14E-04
Luc Mbah a Moute,2.15E-04
Pascal Siakam,2.19E-04
Luol Deng,2.28E-04
Robin Lopez,2.30E-04
Evan Fournier,2.33E-04
John Henson,2.34E-04
Michael Kidd-Gilchrist,2.36E-04
Marreese Speights,2.37E-04
Michael Carter-Williams,2.38E-04
Kenneth Faried,2.40E-04
Metta World Peace,2.43E-04
Kyle O'Quinn,2.51E-04
Salah Mejri,2.53E-04
Bojan Bogdanovic,2.56E-04
Jordan McRae,2.57E-04
Omer Asik,2.60E-04
Austin Rivers,2.64E-04
Nemanja Bjelica,2.64E-04
Ron Baker,2.76E-04
T.J. McConnell,2.78E-04
Jahlil Okafor,2.79E-04
Otto Porter,2.80E-04
Willy Hernangomez,2.80E-04
Derrick Favors,2.81E-04
Kyle Anderson,2.82E-04
Joe Ingles,2.83E-04
Nikola Mirotic,2.83E-04
James Michael McAdoo,2.85E-04
Marco Belinelli,2.85E-04
Tyler Ennis,2.87E-04
Dario Saric,2.90E-04
Thon Maker,2.95E-04
Andrew Bogut,2.99E-04
Jeff Teague,3.00E-04
Jerami Grant,3.01E-04
Kevon Looney,3.02E-04
Boban Marjanovic,3.03E-04
Courtney Lee,3.10E-04
Greg Monroe,3.15E-04
Nerlens Noel,3.17E-04
Damian Jones,3.20E-04
Mindaugas Kuzminskas,3.22E-04
Jaylen Brown,3.25E-04
Georgios Papagiannis,3.26E-04
Kay Felder,3.26E-04
Marcus Smart,3.30E-04
Norman Powell,3.54E-04
Rudy Gay,3.59E-04
Timofey Mozgov,3.62E-04
Cory Joseph,3.71E-04
Tony Allen,4.02E-04
Michael Beasley,4.06E-04
Rodney Hood,4.08E-04
Taj Gibson,4.09E-04
Kosta Koufos,4.20E-04
Chris Andersen,4.26E-04
Alex Abrines,4.28E-04
Domantas Sabonis,4.28E-04
Brandon Jennings,4.37E-04
James Jones,4.40E-04
Anderson Varejao,4.52E-04
Dewayne Dedmon,4.53E-04
Andre Roberson,4.72E-04
Sergio Rodriguez,4.85E-04
Myles Turner,4.90E-04
Ben Simmons,5.00E-04
Ricky Rubio,5.12E-04
Lucas Nogueira,5.21E-04
DeAndre Liggins,5.26E-04
Larry Nance Jr.,5.34E-04
Zach Randolph,5.38E-04
Davis Bertans,5.42E-04
Patrick McCaw,5.55E-04
Danilo Gallinari,5.55E-04
Seth Curry,5.70E-04
Aaron Gordon,5.98E-04
David Lee,6.12E-04
Dennis Schroder,6.18E-04
Chris Bosh,6.26E-04
Patrick Patterson,6.40E-04
Matthew Dellavedova,6.48E-04
Malcolm Brogdon,6.58E-04
DeMarre Carroll,7.03E-04
Goran Dragic,7.04E-04
Joakim Noah,7.06E-04
Eric Bledsoe,7.13E-04
Brook Lopez,7.14E-04
George Hill,7.38E-04
Serge Ibaka,7.64E-04
Jonathon Simmons,7.76E-04
Lou Williams,7.86E-04
Nicolas Batum,8.11E-04
Jae Crowder,8.24E-04
David West,9.35E-04
Paul Pierce,1.01E-03
Terrence Ross,1.01E-03
Paul Millsap,1.04E-03
Patty Mills,1.06E-03
J.J. Redick,1.08E-03
Rajon Rondo,1.11E-03
Danny Green,1.15E-03
Channing Frye,1.22E-03
Nene,1.25E-03
Bradley Beal,1.27E-03
Brandon Ingram,1.33E-03
Corey Brewer,1.33E-03
Iman Shumpert,1.34E-03
Harrison Barnes,1.35E-03
Kyle Korver,1.35E-03
Richard Jefferson,1.41E-03
Victor Oladipo,1.42E-03
Jonas Valanciunas,1.52E-03
Julius Randle,1.52E-03
Enes Kanter,1.65E-03
Marcin Gortat,1.75E-03
Nick Young,1.79E-03
Devin Booker,1.84E-03
Ian Clark,1.87E-03
Vince Carter,1.93E-03
Mike Conley,1.99E-03
Jamal Crawford,2.01E-03
Montrezl Harrell,2.12E-03
CJ McCollum,2.19E-03
Sam Dekker,2.22E-03
D'Angelo Russell,2.28E-03
J.R. Smith,2.48E-03
Avery Bradley,2.56E-03
Clint Capela,2.56E-03
Andre Drummond,2.65E-03
Tony Parker,2.92E-03
Dirk Nowitzki,2.94E-03
Al Horford,3.21E-03
Rudy Gobert,3.28E-03
Shaun Livingston,3.34E-03
Andrew Wiggins,3.56E-03
Steven Adams,3.81E-03
Dwight Howard,3.97E-03
Zach LaVine,4.11E-03
Gordon Hayward,4.20E-03
Ersan Ilyasova,4.26E-03
Patrick Beverley,4.44E-03
Hassan Whiteside,4.45E-03
Kemba Walker,4.47E-03
Nikola Jokic,4.55E-03
Jabari Parker,5.21E-03
Jeremy Lin,5.31E-03
Ryan Anderson,5.44E-03
Pau Gasol,5.63E-03
Manu Ginobili,5.63E-03
Trevor Ariza,5.81E-03
JaVale McGee,6.03E-03
DeAndre Jordan,6.24E-03
Tristan Thompson,6.45E-03
Marc Gasol,7.18E-03
Andre Iguodala,7.62E-03
Blake Griffin,7.75E-03
John Wall,7.91E-03
LaMarcus Aldridge,8.50E-03
Derrick Rose,8.86E-03
Damian Lillard,8.94E-03
Karl-Anthony Towns,9.64E-03
Paul George,1.12E-02
Eric Gordon,1.18E-02
Jordan Clarkson,1.21E-02
Kyle Lowry,1.24E-02
Kristaps Porzingis,1.28E-02
Carmelo Anthony,1.43E-02
DeMarcus Cousins,1.72E-02
Jimmy Butler,1.81E-02
Chris Paul,1.93E-02
Isaiah Thomas,1.98E-02
