username,pagerank,eigen,load,betw,followers
1ngram4,0.007160403855545023,0.08628884743592367,0.005240959534049666,0.005495590599478053,2057002
22wiggins,0.0048351001707248225,0.04691183604325356,0.0040090956507154215,0.0037633014625792207,1957459
35_fitz,0.00370672401586696,0.030352119879862735,0.007316909793241918,0.006734030322115817,
3tross1,0.003929157184559908,0.04525877825235419,0.005158612105555616,0.004818793299325464,357072
44bojan,0.0018863686822765265,0.008603607138706401,9.357744105479146e-05,8.515414116834084e-05,70969
_alvo_,0.0034071178678442868,0.03276851203881514,0.0016707523764387404,0.0014812218358291349,70887
_dfavors15,0.001931963831269863,0.007051858339891643,0.0003035109128747031,0.00027426858976004146,76589
_kw15,0.00867884684688845,0.0799568684041986,0.007253757399936516,0.007286177216568719,1184777
_tonyparker09,0.0038893110777644046,0.01672709234036695,0.001417993975014122,0.0013820982044835072,426559
abrooksart,0.0008059611035902292,4.334011847323257e-17,0.0,0.0,86068
acfresh21,0.0025830520779689466,0.014372837406829328,0.0024612818086263886,0.0021958300229450787,106354
adreian_payne,0.001867623192581632,0.0083564811157303,0.00080540188823713,0.0007736219327107886,68892
ageefla,0.0029266494629778014,0.032402597588682115,0.0016600706875477857,0.0015630514267452496,24142
ajincaalexis,0.0020210000960046676,0.01079068352872231,0.0014037087773325035,0.0012630325927084677,27351
alantwilliams,0.0024340463563455295,0.019876831722975868,0.0013053854081958025,0.0009233243255152294,35109
aldridge_121,0.004219540722827307,0.02792357124515962,0.004031101234487427,0.003897635595057246,373257
alecpeters25,0.0012308761453090336,0.00537539049333098,0.0002245264531247229,0.00023589356013821176,5925
alexabrines,0.0026330545367034175,0.023703907961925244,0.001329117231095758,0.0011355145281307542,152100
alexlen_21,0.002564238255214584,0.02034364199054529,0.004121258215575693,0.003689536826377233,40717
alexthegreat22,0.00284980718065759,0.022559401301084782,0.003361622241123242,0.0029749301217349205,124746
alhorford,0.005442551230693539,0.049287141516078596,0.0063511765601394175,0.006015061746643678,517119
