ï»¿id,username,full_name,user_profile,followed_by_viewer,requested_by_viewer,user_follows,user_followed_by,profile_pic_url,profile_pic_url_hd,is_private,follows_count,followed_by_count,media_count,latestPostDate,follows_viewer,biography,is_verified,is_business_account,business_category_name
7298987609,_ellen_nana_,,https://www.instagram.com/_ellen_nana_,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/cce7d2717d04b5d130a913443581aa1d/5D6EB189/t51.2885-19/s150x150/44299000_311700566324873_7444725087720177664_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,FALSE,,
10170267391,goldenpatch17,Golden Patch Management,https://www.instagram.com/goldenpatch17,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/5f4a95ab1fbd3d00fefd401bd33863fa/5D571E5A/t51.2885-19/47692345_359392518195197_8091621280748404736_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,FALSE,,
4110707274,stevenadams,Steven Adams,https://www.instagram.com/stevenadams,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/173cc2f6bd6e211caae4944fba0932a2/5D665B25/t51.2885-19/s150x150/26156659_145484202823058_5900492003287760896_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
31465404,hami.diallo,Hamidou Diallo,https://www.instagram.com/hami.diallo,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/d59b66eb79e398e76ecb3c0c7ff7ba02/5D523E40/t51.2885-19/s150x150/42526294_241833596484659_8861760508068364288_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
188241602,jeramigrant,Jerami Grant,https://www.instagram.com/jeramigrant,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/bb00babb48602edadc973cc4f2483cfc/5D568306/t51.2885-19/10979665_1553794688222155_1339277561_a.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
27091737,jeffteague,Jeff Teague,https://www.instagram.com/jeffteague,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/354d1fa1244a2b9d84d93eb9eddb64f4/5D5EDB8E/t51.2885-19/s150x150/54457898_272228030331043_4045372323929260032_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
7050373159,zmane2,Blessing,https://www.instagram.com/zmane2,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/0afc18d1035be3a7e91bababb4e10aa4/5D5A2117/t51.2885-19/s150x150/53439429_2352805304954268_6173519114334633984_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
23154764,nerlensnoel3,Nerlens Noel,https://www.instagram.com/nerlensnoel3,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/54b086b0e6a753b70681d3ed69834920/5D5D2B3A/t51.2885-19/s150x150/25008877_1492449457490975_2407150649092341760_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
5749522,ronaldo,Ronaldo,https://www.instagram.com/ronaldo,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/2921712109e9406bf12d98658006618c/5D55CDC8/t51.2885-19/s150x150/34900564_177879269570116_8573757563319877632_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
20650647,russwest44,Russell Westbrook,https://www.instagram.com/russwest44,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/c7a99ffee79e256346b9b6e7fbbf3774/5D3D1100/t51.2885-19/s150x150/16122419_907264242744262_40920541430808576_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
