Player,Username,,,
Aaron Brooks,abrooksart,,,
Aaron Gordon,youngheirgordon,,,
Aaron Holiday,the_4th_Holiday,,,
Abdel Nader,dulenader2,,,
Adreian Payne,adreian_payne,,,
A.J. Hammons,null,,,
Alan Anderson,dubblea74,,,
Alan Williams,alantwilliams,,,
Alec Burks,null,,,
Alec Peters,alecpeters25,,,
Alex Abrines,alexabrines,,,
Alex Caruso,acfresh21,,,
Alexis Ajinca,ajincaalexis,,,
Alex Len,alexlen_21,,,
Alex Poythress,alexthegreat22,,,
Al-Farouq Aminu,chiefhasarrived,,,
Alfonzo McKinnie,_alvo_,,,
Al Horford,alhorford,,,
Alize Johnson,alizejohnson24,,,
Al Jefferson,null,,,
Allen Crabbe,allencrabbe,,,
Allonzo Trier,iso_zo,,,
Alonzo Gee,ageefla,,,
Amile Jefferson,amilejefferson,,,
Amir Johnson,iamamirjohnson,,,
Anderson Varejao,andersonvarejao18,,,
Andre Drummond,andredrummondd,,,
Andre Iguodala,andre,,,
Andre Roberson,flydre21,,,
Andrew Bogut,andrewbogut,,,
Andrew Harrison,drewroc5,,,
Andrew Nicholson,nicholaf44,,,
Andrew White,null,,,
Andrew Wiggins,22wiggins,,,
Anfernee Simons,antsimons,,,
Angel Delgado,angeldelgado,,,
Ante Zizic,antezizic,,,
Anthony Brown,twoshotonee,,,
Anthony Davis,antdavis23,,,
Anthony Morrow,yungfresh,,,
Anthony Tolliver,atolliver44,,,
Antonio Blakeney,blakeney96,,,
Antonius Cleveland,null,,,
Arinze Onuaku,null,,,
Aron Baynes,houseobayne,,,
Arron Afflalo,null,,,
Austin Rivers,austinjrivers,,,
Bam Adebayo,bam1of1,,,
Ben McLemore,b_mclemore23,,,
Ben Moore,null,,,
Beno Udrih,benoudrih19,,,
Ben Simmons,bensimmons,,,
Bismack Biyombo,bismackbiyombo,,,
Blake Griffin,blakegriffin23,,,
Boban Marjanovic,boban,,,
Bobby Brown,null,,,
Bobby Portis,bportistime,,,
Bogdan Bogdanovic,bogdanbogdanovic,,,
Bojan Bogdanovic,44bojan,,,
Boris Diaw,diawboris,,,
Bradley Beal,bradbeal3,,,
Brad Wanamaker,bwan22,,,
Brandan Wright,bkw34,,,
Brandon Bass,bestbetbass,,,
Brandon Goodwin,toughlay,,,
Brandon Ingram,1ingram4,,,
Brandon Jennings,,,,
Brandon Knight,brandonknight,,,
Brandon Paul,bpaul,,,
Brandon Rush,brush_4,,,
Brandon Sampson,null,,,
Brian Roberts,blroberts22,,,
Briante Weber,sir_deuce2,,,
Brice Johnson,bjohnson_23,,,
Brook Lopez,null,,,
Bruce Brown,brucebrown11,,,
Bruno Caboclo,brunofive,,,
Bryn Forbes,,,,
Buddy Hield,,,,
Caleb Swanigan,,,,
Cameron Payne,,,,
Caris LeVert,,,,
Carmelo Anthony,carmeloanthony,,,
Cedi Osman,cediosman,,,
Chandler Hutchison,,,,
Chandler Parsons,,,,
Channing Frye,channingfrye,,,
Charles Cooke,,,,
Chasson Randle,,,,
Cheick Diallo,,,,
Chimezie Metu,,,,
Chinanu Onuaku,,,,
Chris Andersen,,,,
Chris Bosh,chrisbosh,,,
Chris Boucher,,,,
Chris McCullough,,,,
Chris Paul,cp3,,,
Christian Wood,,,,
CJ McCollum,,,,
C.J. Miles,,,,
C.J. Watson,,,,
C.J. Wilcox,,,,
C.J. Williams,,,,
Clint Capela,ccapela15,,,
Cody Zeller,,,,
Cole Aldrich,,,,
Collin Sexton,,,,
Corey Brewer,,,,
Cory Joseph,,,,
Courtney Lee,courtneylee,,,
Cristiano Felicio,imfelicio,,,
Dakari Johnson,dakarijohnson,,,
Damian Jones,dameology,,,
Damian Lillard,damianlillard,,,
Damien Wilkins,dwilk3000,,,
Damion Lee,dami0nlee,,,
Damjan Rudez,damorudez9,,,
Damyean Dotson,wholeteamdot,,,
D'Angelo Russell,dloading,,,
Daniel Hamilton,d_ham25,,,
Daniel Ochefu,danielochefu32,,,
Daniel Theis,dtheis10,,,
Danilo Gallinari,danilogallogallinari,,,
Danny Green,greenranger14,,,
Dante Cunningham,dlamarc33,,,
Dante Exum,daanteee,,,
Danuel House,dk2house,,,
Dario Saric,megalodon20,,,
Darius Miller,dmillerky,,,
Darrell Arthur,d_arthur00,,,
Darren Collison,darrencollison_,,,
Darrun Hilliard,d_c_hill1,,,
Daryl Macon,dmacon4.0,,,
David Lee,dlee042,,,
David Nwaba,davidnwaba,,,
David West,realdwest30,,,
Davis Bertans,dbertans_42,,,
Davon Reed,clutchreed_5,,,
De'Aaron Fox,swipathefox,,,
Deandre Ayton,deandreayton,,,
DeAndre' Bembry,,,,
DeAndre Jordan,deandre,,,
